"date","CLOSE"
2022-05-05,2847.1
2022-05-06,2872.45
2022-05-09,2708
2022-05-10,2486.8
2022-05-11,2663.95
2022-05-12,2435.6
2022-05-13,2171.7
2022-05-16,2282.5
2022-05-17,2287.15
2022-05-18,2396.45
2022-05-19,2316.75
2022-05-20,2271.8
2022-05-23,2247.5
2022-05-24,2138.15
2022-05-25,2187.05
2022-05-26,2169.85
2022-05-27,2165.85
2022-05-30,2148.55
2022-05-31,1898.8
2022-06-01,1846.9
2022-06-02,1927.55
2022-06-03,1853.7
2022-06-06,1800.8
2022-06-07,1829.25
2022-06-08,1801.5
2022-06-09,1813.05
2022-06-10,1755.75
2022-06-13,1800.15
2022-06-14,1786.7
2022-06-15,1757.65
2022-06-16,1709.8
2022-06-17,1713.8
2022-06-20,1744.45
2022-06-21,1809
2022-06-22,1736.8
2022-06-23,1797.6
2022-06-24,1856.65
2022-06-27,1917.65
2022-06-28,1909.45
2022-06-29,1904.65
2022-06-30,1929
2022-07-01,1959.7
2022-07-04,1882.65
2022-07-05,1875.15
2022-07-06,1902
2022-07-07,1914.95
2022-07-08,1920.9
2022-07-11,2209.8
2022-07-12,2288.95
2022-07-13,2105.65
2022-07-14,2089.7
2022-07-15,2071.45
2022-07-18,2090.7
2022-07-19,2108.05
2022-07-20,2084.4
2022-07-21,2110.3
2022-07-22,2119.8
2022-07-25,2135.7
2022-07-26,2102.5
2022-07-27,2097.3
2022-07-28,2143.55
2022-07-29,2168.45
2022-08-01,2276.95
2022-08-02,2295.15
2022-08-03,2202.05
2022-08-04,2189.9
2022-08-05,2103.05
2022-08-08,2165
2022-08-10,2164
2022-08-11,2163.45
2022-08-12,2175.8
2022-08-16,2217.55
2022-08-17,2228.2
2022-08-18,2294.05
2022-08-19,2411.1
2022-08-22,2519.45
2022-08-23,2414.8
2022-08-24,2355.45
2022-08-25,2366.7
2022-08-26,2393
2022-08-29,2336.8
2022-08-30,2436.7
2022-09-01,2392.85
2022-09-02,2383.05
2022-09-05,2352.15
2022-09-06,2376.25
2022-09-07,2346.45
2022-09-08,2331.15
2022-09-09,2314.8
2022-09-12,2357.45
2022-09-13,2334.05
2022-09-14,2297.2
2022-09-15,2343.05
2022-09-16,2315.3
2022-09-19,2347
